Quadrant	Longitude	Latitude	Name	Bogennummer	Sprache
55/25	16,48013663	50,26863043	FRIEDRICHSWALD (ORLICKￃﾉ ZￃﾁHOￅﾘￃﾍ)	16775	1
58/25	17,24183624	50,25517092	BￃﾖHMISCHDORF	16801	1
55/24	16,46560671	50,16530112	ROKITNITZ (ROKYTNICE)	16814	1
72/54	21,65075358	54,87658737	KREUZINGEN (BOL'SHAKOVO)	1683	1
56/24	16,71044888	50,0763027	NIEDER-ULLERSDORF (DOLNￃﾍ BOￅﾘￃﾍKOVICE	16876	1
57/24	16,94591816	50,07261368	HEINZENDORF (HYNￄﾌICE NAD MORAVOU)	16889	1
58/24	17,29069553	50,02964652	KARLSDORF	16907	1
59/25	17,51227875	50,22030266	KUHBERG	16932	1
60/25	17,73660283	50,20995029	RAUSEN (RUSￃﾍN)	16949	1
73/54	21,94586611	54,83695164	BUTTKUHNEN (POKROVSKOE)	1698	1
59/24	17,47950091	50,0638888	BREITENAU (BRETNOVￃﾁ ￅﾠIROKￃﾁ NIVA)	16991	1
60/24	17,74608647	50,0470232	LOBENSTEIN (ￃﾚVALNO)	17012	1
40/23	12,52743214	49,93203052	LOHHￃﾄUSER (SLATINA)	17029	1
41/23	12,83308709	49,93372209	DEUTSCH THOMASCHLAG (NￄﾚMECKￃﾉ DOMASL	17061	1
42/23	13,05746787	49,93785404	POLINKEN (POLￃﾍNKA)	17075	1
74/54	22,22011308	54,8699569	BALTRUSCHATSCHEN (JAKOVLEVO)	1708	1
40/22	12,56427266	49,7720973	ALBERSDORF (PￃﾍSAￅﾘOVA VESCE)	17138	1
41/22	12,78758496	49,78516666	DAMNAU	17151	1
42/22	13,12137244	49,77832844	PIWANA (PIￅﾇOVANY)	17174	1
43/22	13,31836954	49,7932149	KOTTIKEN (CHOTￃﾍKOV)	17178	1
40/21	12,59263476	49,63101848	DIANABERG (DIANA)	17244	1
41/21	12,83611997	49,61401094	WIEDLITZ (VIDICE)	17266	1
42/21	13,06318469	49,63824558	HONOSITZ (HONEZOVICE)	17273	1
43/21	13,29099949	49,65550872	DOBRZAN (DOBￅﾘANY)	17281	1
42/20	12,99003795	49,5009234	BLISOWA (BLￃﾍￅﾽEJOV)	17306	1
55/23	16,39993838	49,94474447	HILBETEN	17309	1
56/23	16,70920166	49,91307027	SCHￃﾖNWALD (STRￃﾁￅﾽNￃﾁ)	17325	1
66/53	19,98061971	54,80011714	ROTTENEN (RAKTINO)	1733	1
57/23	17,02418646	49,91272165	OBER-ULLISCHEN (HORNￃﾍ OLEￅﾠNￃﾁ)	17374	1
