Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Caused Motion Alternation	Goal Alternation - Prepositional (ʾilâ+ 'to') / Accusative Object	Locative Alternation 1	Locative Alternation 2	Locative Alternation 3	Object Adding Alternation	Object Omission Alternation	Prepositional (bi+) / Accusative object Alternation	Prepositional (min 'from') / Accusative Object Alternation	Stem II Causative	Stem IV Causative	Stem V Anticausative	Stem V Reflexive	Stem VI Passive	Stem VI Reciprocal	Stem VI Reflexive	Stem VII Anticausative	Stem VII Passive	Stem VIII Anticausative	Stem VIII Reciprocal	Stem VIII Reflexive	Stem X Causative	Theme / Recipient Alternation - Prepositional (li+ 'to') / Accusative Object	Theme / Source Alternation - Prepositional (min+ 'from') Accusative Object
Modern Standard Arabic	52	JUMP	qafaza	120	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	53	SING	ġannâ	121, 122	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	54	GO	d̠ahaba	123, 124, 250	V.subj[1] 1-nom ʾilâ+2	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	55	LEAVE	ġādara (1)	125, 253	V.subj[1] 1-nom 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	55	LEAVE	ġādara (2)	126	V.subj[1] 1-nom ʾilâ+2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	56	LIVE	ʿāša	127, 128, 129	V.subj[1] 1-nom fī+2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	No data	Never	Never	Never	No data	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	57	LAUGH	ḍaḥika	130, 131, 132, 133, 134, 135	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	No data	Never	Never	Never	Never	Never	Never	Regularly	Never	Never
Modern Standard Arabic	58	SCREAM	ṣaraḫa	136, 201	V.subj[1] 1-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	58	SCREAM	ṣāḥa	19, 63	V.subj[1] 1-nom (ʿalâ+2)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	59	FEEL PAIN	taʾallama	141, 142, 143	V.subj[1] 1-nom min+2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
