Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Mitsukaido Japanese	300		Ore aregodo jane noboraseda.		ore are=godo jane nobor-ase-da	1sg.NOM 3sg=ACC roof.ACC climb-CAUS-PST	I made her/him climb the roof.
Mitsukaido Japanese	301		Are samugatteda.		are samugat-te-da	3sg.NOM feel.cold-GER.be-PST	She/he felt cold.
Mitsukaido Japanese	302		Hono odogo jarokkogodo tamangeragasjta.		hono odogo jarokko=godo tamangeragasj-ta	that man.NOM boy=ACC surprise-PST	That man surprised the boy.
Mitsukaido Japanese	303		Jarokko ({ot/but})tamangeda.		jarokko ({ot/but})tamange-da	boy.NOM be.surprised-PST	The boy was surprised.
Mitsukaido Japanese	304		Jarokko hono odogoni tamangeragasareda.		jarokko hono odogo=ni tamangeragas-are-da	boy.NOM that man=LOC surprise-PASS-PST	The boy was surprised by that man.
Mitsukaido Japanese	305		Ore hono odogonge jarokkogodo tamangeragasaseda.		ore hono odogo=nge jarokko=godo tamangeragas-ase-da	1sg.NOM that man=DAT boy=ACC surprise-CAUS-PST	I made that man surprise the boy.
Mitsukaido Japanese	306		Orenganja aregodo tamangeragaseru.		ore=nganja are=godo tamangeragas-e-ru	1sg=EXP.TOP 3sg=ACC surprise-POT-NPST	I can surprise her/him.
Mitsukaido Japanese	307		Ore arenge donatta.		ore are=nge donat-ta	1sg.NOM 3sg=DAT shout.at-PST	I shouted at her/him.
Mitsukaido Japanese	308		Ore areni donarareda.		ore are=ni donar-are-da	1sg.NOM 3sg=LOC shout.at-PASS-PST	I was shouted at by her/him.
Mitsukaido Japanese	309		Ore areni zinarareda.		ore are=ni zinar-are-da	1sg.NOM 3sg=LOC shout.at-PASS-PST	I was shouted at by her/him.
Mitsukaido Japanese	310		Ore arenge zinatta.		ore are=nge zinat-ta	1sg.NOM 3sg=DAT shout.at-PST	I shouted at her/him.
Mitsukaido Japanese	311		Ore sengaregodo arenge donaraseda.		ore sengare=godo are=nge donar-ase-da	1sg.NOM son=ACC 3sg=DAT shout.at-CAUS-PST	I made my son shout at her/him.
Mitsukaido Japanese	312		Ore sengaregodo arenge zinaraseda.		ore sengare=godo are=nge zinar-ase-da	1sg.NOM son=ACC 3sg=DAT shout.at-CAUS-PST	I made my son shout at her/him.
Mitsukaido Japanese	313		Orenganiwa zinarenena.		ore=ngani=wa zinar-e-ne=na	1sg=EXP=TOP shout.at-POT-NEG.NPST=F	I cannot shout.
Mitsukaido Japanese	314		Ore amakkonge sonna godo sjtsja oenenatte itta.		ore amakko=nge sonna godo sj-tsja oene=na=tte it-ta	1sg.NOM girl=DAT such thing.ACC do-COND no.good=F=CIT say-PST	I said to the girl "It's not good to do such a thing."."
Mitsukaido Japanese	315		Ore dege: odo ki:da.		ore dege: odo ki:-da	1sg.NOM big.NPST sound.ACC hear-PST	I heard a big sound.
Mitsukaido Japanese	316		Ore tonarinteni naesjobanasji kigarettsjtta.		ore tonarinte=ni naesjobanasji kig-are-ttsjt-ta	1sg.NOM neighbor=LOC secret.story.ACC hear-PASS-PERF-PST	I was affected by my neighbor's hearing of my secret story.
Mitsukaido Japanese	317		Ore kodomonge hanasji kigaseda.		ore kodomo=nge hanasji kig-ase-da	1sg.NOM child=DAT story.ACC hear-CAUS-PST	I made the child listen to the story.
