Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Causative	Deagentive	Direct object shift	Extraversive	Fientive	Incorporative	Indirect participation	Introversive	Passive	Reciprocal	Reflexive	Usative
Yucatec Maya	63	BE SAD	ok'om	73, 216, 225	sbj[1].V 1	Marginally	Never	Never	Regularly	Regularly	Regularly	Never	Never	Never	Never	Never	Never
Yucatec Maya	64	BE HUNGRY	wi'h	74, 217, 227, 228	sbj[1].V 1	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never
Yucatec Maya	65	ROLL	balak'	75, 229, 230	sbj[1].V 1	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	66	SINK															
Yucatec Maya	67	BURN	éel	77, 235	sbj[1].V 1	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	68	BE DRY	tikin	79, 306, 308, 326	sbj[1].V 1	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Marginally	Regularly	Never
Yucatec Maya	69	RAIN	k'áax	80, 238, 239	sbj[1].V 1	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	70	BE A HUNTER	hts'oon	81, 240	sbj[1].V 1	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	71	GRIND	huch'	82, 241, 242, 342, 343	sbj[1].V.obj[2] 2 1 (yéetel+3)	Never	Never	Never	Never	Never	Regularly	Marginally	Regularly	Regularly	Never	Never	Never
Yucatec Maya	72	WIPE	cho'	83, 243, 292	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	No data	Marginally	Marginally	Regularly	Marginally	Marginally	Never
Yucatec Maya	72	WIPE	púust	84, 85, 245, 246, 247	sbj[1].V.obj[2] 2 1	Never	Never	Regularly	Never	Never	Marginally	Regularly	Regularly	Regularly	Marginally	Marginally	Never
Yucatec Maya	72	WIPE	púus	85, 244	sbj[1].V 1	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Yucatec Maya	73	DIG	háal	86	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never
Yucatec Maya	73	DIG	páan	248, 249	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Regularly	Never	Marginally	Regularly	Never	Never	Never
Yucatec Maya	74	PUSH	léench'int	87, 250, 251	sbj[1].V.obj[2] 2 1 LOC3	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never
Yucatec Maya	74	PUSH	tul	88, 252	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Regularly	Never	Never
Yucatec Maya	75	BRING	taas	89, 253, 254	sbj[1].V.obj[2] 2 1 LOC3	Never	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never	Never
Yucatec Maya	76	STEAL	ookol	90, 257, 335, 359, 360, 361	sbj[1].V.obj[2] 2 ti'+3 1	Never	Never	Marginally	Marginally	Never	Marginally	Regularly	Marginally	Regularly	No data	Never	Never
Yucatec Maya	76	STEAL	ookolt	258, 347	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Marginally	Never
Yucatec Maya	77	TEACH	ka'ns	91, 255, 256, 259, 260, 362	sbj[1].V.obj[2] 2 ti'+3 1	Never	Never	Marginally	Never	Never	Never	Never	Regularly	Regularly	Marginally	Never	Never
Yucatec Maya	78	HEAR	u'y	5, 92, 109, 110, 191, 192, 193, 261, 317, 318	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Marginally	Never	Marginally	Regularly	Regularly	Regularly	Never
Yucatec Maya	79	COOK	chak	93, 262, 263	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly	Regularly	Never	Never	Never
Yucatec Maya	80	BOIL	look	94, 264	sbj[1].V 1	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
